text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
"250,000","[0, 0, 100, 20]",1,12.0,1,0,0.0035,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7311019876115421,Title/Heading,0,"{'type': 'numeric', 'depth': 1}",Title
"200,000","[0, 0, 100, 20]",1,12.0,1,0,0.0035,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7311019876115421,Title/Heading,0,"{'type': 'numeric', 'depth': 1}",H1
"150,000","[0, 0, 100, 20]",1,12.0,1,0,0.0035,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7311019876115421,Title/Heading,0,"{'type': 'numeric', 'depth': 1}",H1
"100,000","[0, 0, 100, 20]",1,12.0,1,0,0.0035,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7311019876115421,Title/Heading,0,"{'type': 'numeric', 'depth': 1}",H1
"50,000","[0, 0, 100, 20]",1,12.0,1,0,0.003,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.73507630278682,Title/Heading,0,"{'type': 'numeric', 'depth': 1}",H1
Idaho Public School Fall Membership,"[0, 0, 100, 20]",1,20.04,5,0,0.0155,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,1,"{'type': 'roman', 'depth': 1}",H1
